"","cname","code","v2x_polyarchy","v2x_libdem","v2x_partipdem","v2x_delibdem","v2x_egaldem","vdem.mean","p_polity2","fhi","fhi_polity2","grn.seat","r.rate","taxgap.shadow","qog","mean.schl","lit.rate","ldi","hfi","eps_mean","gdp.pc","reg.mean"
"54","Estonia","EST",0.9,0.841,0.623,0.853,0.801,0.8036,0.95,0,0.975,0,NA,4.28,0.65277779,12.7,99.823509,"0.855",0.937984496124031,NA,"19768.039",403.54572
"55","Eswatini","SWZ",0.143,0.088,0.137,0.082,0.098,0.1096,0.05,1,0.10833333,NA,NA,NA,NA,6.5,87.944786,"0.102",0.443798449612403,NA,"4110.0498",403.253586666
"56","Ethiopia","ETH",0.238,0.104,0.103,0.148,0.132,0.145,0.35,1,0.21666667,NA,NA,NA,0.4861111,2.6,49.031521,"0.107",0.292635658914729,NA,"900.77002",403.342333334
"57","Fiji","FJI",0.434,0.294,0.208,0.346,0.313,0.319,0.6,0.5,0.6333333,NA,NA,NA,NA,10.8,93.9,"0.36",0.645348837209302,NA,"3848.72",403.41046666
"58","Finland","FIN",0.873,0.824,0.611,0.777,0.812,0.7794,1,0,1,7.5,40.6,-1.95,0.97222221,12.4,99,"0.794",0.936046511627907,NA,"36958.211",403.55588
"59","France","FRA",0.876,0.788,0.628,0.81,0.805,0.7814,0.95,0,0.975,2.9000001,39.6,-5.03,0.77777779,11.5,99,"0.839",0.86046511627907,3,"34007.898",403.54128
"60","Gabon","GAB",0.386,0.243,0.266,0.323,0.317,0.307,0.65,1,0.45,NA,NA,NA,0.40277779,8.1,83.9525185,"0.28",0.39922480620155,NA,"14525.28",403.4814
"61","Gambia","GMB",NA,NA,NA,NA,NA,NA,0.25,1,0.16666666,NA,NA,NA,0.47222221,3.4,55.572762,"0.131",0.457364341085271,NA,"1601.88",NA
"62","Georgia","GEO",0.736,0.606,0.492,0.596,0.596,0.6052,0.85,0.5,0.7583333,NA,NA,6.37,NA,12.7,99.759621,"0.555",0.837209302325581,NA,"7148.5698",403.54270666
"63","Germany","DEU",0.878,0.835,0.63,0.829,0.805,0.7954,1,0,1,10,66.1,3.03,0.8888889,14.1,99,"0.823",0.947674418604651,3,"39486.699",403.55908
"64","Ghana","GHA",0.736,0.618,0.374,0.59,0.56,0.5756,0.9,0,0.9083334,NA,NA,NA,0.5138889,6.9,77.8077685,"0.586",0.656976744186047,NA,"2584.6001",403.47678668
